Order ID,Customer Name,Gender,Product Details (Brand),Phone Number,Age,City,Address,Product Price (Taka),Delivery Charge(Taka),Total Bill (Taka),Phone Number,Customer Value,City Code,Product Code,Value Count,,LOOKUP TABLE   ,LOOKUPVALUE,,Product,Product Code
25,Sumaira Rahman,Female,Khaadi,017-167-61274,29,Dhaka,"60 fit pirerbag, amtola bazar,250 dofarce bilders, Dhaka",5990,70,6060,017-167-61274,Low,1,2,0,,,,,,
26,FA Tamanna,Female,Amir Adnan,013-866-27674,32,Comilla,"518, Akhi vila,thakurpara baganbari, Comilla",9550,120,9670,013-866-27674,Low,10,10,0,,,,,,
27,Ondrila Das,Female,Sana Safinaz,019-652-72843,22,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",10590,120,10710,019-652-72843,High,3,6,1,,,,,,
28,Nusrat Jahan Nisu,Female,Khaadi,016-476-76782,43,Dhaka,"Rohomotpur,zinzira,keranigonj,dha ka",5990,70,6060,016-476-76782,High,1,2,1,,,,,,
29,Ayman Zarif,Male,Celina,013-633-21625,22,Cox's Bazar,"House #3, Lane #7, Coxs Bazar Sadar, Coxs Bazar",5599,120,5719,013-633-21625,Low,5,1,0,,,,,,
30,Sanjida Bina,Female,Sana Safinaz,018-101-16595,25,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",10590,70,10660,018-101-16595,Low,1,6,0,,,,,,
31,Sp Sultana,Female,Sana Safinaz,013-222-77473,30,Dinajpur,"House #16, Road #6, Khansama, Dinajpur",10590,120,10710,013-222-77473,High,18,6,1,,,,,,
32,Zoha Zoha,Female,Sapphire,017-183-86432,36,Mymensingh,"House #18, Road #9, Muktagacha, Mymensingh",7180,120,7300,017-183-86432,High,13,3,1,,,,,,
33,Fabiha Akter,Female,Ethnic,013-793-34530,31,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",6500,120,6620,013-793-34530,Low,3,7,0,,,,,,
34,Puja Barua,Female,Sana Safinaz,017-473-77941,29,Barisal,"Flat #5, Building #4, Muladi, Barisal",10590,120,10710,017-473-77941,Low,8,6,0,,,,,,
35,Nawreen Afreen Urmi,Female,Baroque,017-729-66472,41,Chittagong,"Masterpul boubazar, beside khaja hotel, Suborna Abasik,Chittag ong",7560,120,7680,017-729-66472,High,3,5,1,,,,,,
36,Alika Ormim,Female,Sana Safinaz,017-892-54308,43,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",10590,120,10710,017-892-54308,Low,9,6,0,,,,,,
37,Rumki Faria,Female,Baroque,015-357-11854,23,Rajshahi,"House #4, Lane #7, Motihar, Rajshahi",7560,120,7680,015-357-11854,High,7,5,1,,,,,,
38,Saima Haider,Female,Sana Safinaz,018-779-13280,38,Dhaka,"Chalabon hazi para,house 51, Uttara dhaka 1230",10590,70,10660,018-779-13280,Low,1,6,0,,,,,,
39,Mohammad Jamir Uddin,Male,Sana Safinaz,018-484-38651,38,Dhaka,"Flat-B7, 832,Ibrahimpur bazar road, Kafrul, Dhaka.",10590,70,10660,018-484-38651,High,1,6,1,,,,,,
40,Fazilatun Nesa Nipo,Female,Celina,017-488-40875,22,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5599,70,5669,017-488-40875,High,1,1,1,,,,,,
41,Tania Sultana Tumpa,Female,Khaadi,015-711-34826,33,Comilla,"Plot #12, Brahmanpara, Comilla",5990,120,6110,015-711-34826,Low,10,2,0,,,,,,
42,Fatima Tuz Zohra,Female,Sapphire,017-172-96790,42,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",7180,70,7250,017-172-96790,Low,1,3,0,,,,,,
43,Muhammad Sammar,Male,Faraz Manan,015-139-51006,34,Narayanganj,"House #14, Road #7, Araihazar, Narayanganj",9000,120,9120,015-139-51006,Low,11,9,0,,,,,,
44,Tazin Rahman,Male,Maria B.,019-4969-3291,25,Dhaka,"D block, road 5, house 76,Bashundhara R/A",7500,70,7570,019-4969-3291,High,1,8,1,,,,,,
45,Meherin Hossain Usmi,Female,Celina,015-279-94859,36,Dhaka,"Mashuda villa, 38,Kalabagan,Dhaka",5599,70,5669,015-279-94859,Low,1,1,0,,,,,,
46,Nusrat Yasmin,Female,Sana Safinaz,019-481-97975,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",10590,70,10660,019-481-97975,Low,1,6,0,,,,,,
47,Borsha Anam Choudhury,Female,Faraz Manan,018-605-78373,22,Sylhet,"34/A moushumi agpara mirabazar,Sylhet",9000,120,9120,018-605-78373,High,4,9,1,,,,,,
48,Sultana Rabu,Female,Amir Adnan,016-397-28070,37,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9550,70,9620,016-397-28070,High,1,10,1,,,,,,
49,Sanjida Akter ,Female,Sana Safinaz,015-444-49042,36,Narsingdi,"Apartment #12, Block #O, Belabo, Narsingdi",10590,120,10710,015-444-49042,High,15,6,1,,,,,,
50,Jahid Hasan,Male,Sapphire,017-144-38043,43,Dhaka,"6/7ka champatuli,lane swarighat,chawkbazar,Dhaka",7180,70,7250,017-144-38043,High,1,3,1,,,,,,
51,Jakia Sultana Sharna,Female,Sana Safinaz,015-969-61003,33,Dhaka,"House 1083,Road 6/A,Avenue 8,Mirpur DOHS",10590,70,10660,015-969-61003,Low,1,6,0,,,,,,
52,Nahid Akther Tani,Female,Mushq,015-827-35906,25,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",6890,120,7010,015-827-35906,High,4,4,1,,,,,,
53,Nawme,Female,Celina,015-683-73270,31,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5599,70,5669,015-683-73270,Low,1,1,0,,,,,,
54,Kaniz Alma Lubaba,Female,Celina,018-138-73408,29,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",5599,70,5669,018-138-73408,Low,1,1,0,,,,,,
55,Jannatul Ferdoush,Female,Mushq,013-339-90069,23,Jessore,"House #15, Road #3, Bagherpara, Jessore",6890,120,7010,013-339-90069,Low,14,4,0,,,,,,
56,Rezoana Natasha,Female,Faraz Manan,016-669-28501,22,Barisal,"House #19, Road #11, Natullabad, Barisal",9000,120,9120,016-669-28501,Low,8,9,0,,,,,,
57,Afrina Aktar Sheule,Female,Sana Safinaz,016-567-26880,23,Chittagong,"VIP city corporation housing society, road no 1, south khulshi,Chittagong",10590,120,10710,016-567-26880,High,3,6,1,,,,,,
58,Ahmed Parvez,Male,Khaadi,017-584-50821,46,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",5990,120,6110,017-584-50821,High,20,2,1,,,,,,
59,Swarna Sangma,Female,Khaadi,019-661-30806,29,Narsingdi,"Plot #13, Monohardi, Narsingdi",5990,120,6110,019-661-30806,Low,15,2,0,,,,,,
60,Labib Fatima,Female,Sana Safinaz,018-601-23890,33,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",10590,120,10710,018-601-23890,Low,3,6,0,,,,,,
61,Sanjida Islam,Female,Celina,018-600-16850,32,Faridpur,"Flat #2, Building #13, Nagarkanda, Faridpur",5599,120,5719,018-600-16850,High,19,1,1,,,,,,
62,Samia Sultana Anni,Female,Ethnic,018-597-56856,27,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",6500,120,6620,018-597-56856,Low,3,7,0,,,,,,
63,Jannatul Nayem Labonno,Female,Sana Safinaz,018-663-11824,39,Faridpur,"Plot #5, Charbhadrasan, Faridpur",10590,120,10710,018-663-11824,Low,19,6,0,,,,,,
64,Sohana Ahmed,Female,Maria B.,018-371-10425,22,Faridpur,"Plot #5, Charbhadrasan, Faridpur",7500,120,7620,018-371-10425,High,19,8,1,,,,,,
65,Nabiha Sarmin Chowdhury,Female,Sana Safinaz,013-479-14026,42,Sylhet,"Apartment #15, Block #E, Zindabazar, Sylhet",10590,120,10710,013-479-14026,Low,4,6,0,,,,,,
66,Ahsan Iqbal,Male,Sana Safinaz,019-720-50029,22,Dhaka,"6/2,D, Abir mollah complex,(Besides borobug girja), Mirpur 2,",10590,70,10660,019-720-50029,High,1,6,1,,,,,,
67,Md Imam,Male,Celina,017-918-66072,29,Narsingdi,"House #19, Road #4, Shibpur, Narsingdi",5599,120,5719,017-918-66072,High,15,1,1,,,,,,
68,Ummy Sabrina Tonny,Female,Celina,019-164-27009,49,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",5599,120,5719,019-164-27009,Low,3,1,0,,,,,,
69,Taranna Shahriar,Male,Khaadi,018-657-65037,49,Dhaka,"House no-18/3/C,Dokkhin Rajarbag ,(Kadamtola Rajarbag,Bakpara Jora",5990,70,6060,018-657-65037,Low,1,2,0,,,,,,
70,Lubaba Tanzim,Female,Khaadi,017-259-27340,24,Tangail,"House #2, Lane #8, Santosh, Tangail",5990,120,6110,017-259-27340,Low,12,2,0,,,,,,
71,Nayan Rahman,Male,Sana Safinaz,018-801-83936,23,Dhaka,"25 no agasadek road 1100, Infront of Majed sorder committee center, Dhaka",10590,70,10660,018-801-83936,Low,1,6,0,,,,,,
72,Tania Akter Tissa,Female,Sana Safinaz,018-110-59970,25,Dhaka,"Natasha,Adabor 17/b,1030/A, Dhaka",10590,70,10660,018-110-59970,High,1,6,1,,,,,,
73,Anahita Preyontika,Female,Baroque,017-382-58904,33,Dhaka,"Vai vai market, shah kabir mazar road,dakkhinkhan,Dhaka",7560,70,7630,017-382-58904,High,1,5,1,,,,,,
74,Md. Shah Alom,Male,Celina,018-570-46802,47,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,018-570-46802,Low,1,1,0,,,,,,
75,Farzana Rahman Mishu,Female,Faraz Manan,013-142-91407,38,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9000,70,9070,013-142-91407,Low,1,9,0,,,,,,
76,Farhana Kusum,Female,Faraz Manan,017-435-67407,44,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",9000,120,9120,017-435-67407,High,15,9,1,,,,,,
77,Aroshi Rahman,Female,Sana Safinaz,015-166-31975,46,Khulna,"Plot #7, DA Khan Road, Khulna",10590,120,10710,015-166-31975,High,6,6,1,,,,,,
78,Anisha Islam,Female,Sana Safinaz,016-859-17405,35,Dhaka,"Flat-4A, house-8/6/A,shyamoli road no-1,Dhaka",10590,70,10660,016-859-17405,High,1,6,1,,,,,,
79,Rebaka Azad Bonna,Female,Sana Safinaz,019-876-51041,45,Dinajpur,"Apartment #5, Block #R, Birganj, Dinajpur",10590,120,10710,019-876-51041,High,18,6,1,,,,,,
80,Saima Adi Rimu,Female,Sana Safinaz,015-277-55207,43,Narsingdi,"Plot #13, Monohardi, Narsingdi",10590,120,10710,015-277-55207,High,15,6,1,,,,,,
81,Afrina Aktar Sheule,Female,Sana Safinaz,019-835-87508,23,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",10590,120,10710,019-835-87508,High,3,6,1,,,,,,
82,Bulbul Kausar,Female,Sana Safinaz,013-578-23028,22,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",10590,120,10710,013-578-23028,High,8,6,1,,,,,,
83,Halima Papri,Female,Sana Safinaz,017-441-25604,36,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",10590,70,10660,017-441-25604,High,1,6,1,,,,,,
84,Saifun Nahar Nawrin,Female,Amir Adnan,016-876-99708,22,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",9550,120,9670,016-876-99708,High,3,10,1,,,,,,
85,Fariha Jannath Prova,Female,Baroque,016-701-10201,25,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",7560,70,7630,016-701-10201,High,1,5,1,,,,,,
86,Lubaba Tanzim,Female,Sapphire,016-512-98015,23,Jamalpur,"Apartment #7, Block #T, Melandaha, Jamalpur",7180,120,7300,016-512-98015,Low,20,3,0,,,,,,
87,Tasnim Ayontoni,Female,Amir Adnan,018-104-76009,25,Dhaka,"225 Green Road ( Green Residential Society ,Opposite of Dhaka Tower)",9550,70,9620,018-104-76009,Low,1,10,0,,,,,,
88,Mariana Zaman Tumpa,Female,Ethnic,013-363-45601,38,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",6500,120,6620,013-363-45601,High,3,7,1,,,,,,
89,Iffat Surya Poroma,Female,Faraz Manan,013-783-15207,22,Gazipur,"House #8, Lane #10, Joydebpur, Gazipur",9000,120,9120,013-783-15207,Low,2,9,0,,,,,,
90,Adil Abrar,Male,Celina,015-272-76404,33,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,015-272-76404,High,1,1,1,,,,,,
91,Farhana Shimu,Female,Mushq,013-552-10019,26,Barisal,"House #19, Road #11, Natullabad, Barisal",6890,120,7010,013-552-10019,Low,8,4,0,,,,,,
92,Qureshi Tahmina,Female,Faraz Manan,019-665-48019,22,Kushtia,"House #7, Lane #11, Kushtia Sadar, Kushtia",9000,120,9120,019-665-48019,Low,16,9,0,,,,,,
93,Jannatul Ferdous Madhubi,Female,Amir Adnan,016-287-82309,22,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",9550,120,9670,016-287-82309,High,17,10,1,,,,,,
94,Salma Akter,Female,Celina,017-709-33092,46,Dhaka,"Murgitola mosjid,Gendaria, puran Dhaka",5599,70,5669,017-709-33092,High,1,1,1,,,,,,
95,Motasima Tinni,Female,Mushq,017-289-70091,27,Dhaka,"Elyee apartment,flat - A 5 house 24,road - 1 -block K baridhara",6890,70,6960,017-289-70091,Low,1,4,0,,,,,,
96,Rijatun Naher Suhi,Female,Celina,019-579-11409,24,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",5599,120,5719,019-579-11409,Low,2,1,0,,,,,,
97,Roksana Parvin Tuli,Female,Mushq,017-139-38040,34,Barisal,"House #19, Road #11, Natullabad, Barisal",6890,120,7010,017-139-38040,Low,8,4,0,,,,,,
98,Anika Rahman,Female,Baroque,013-987-68006,39,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",7560,120,7680,013-987-68006,Low,16,5,0,,,,,,
99,Mohin Uddin Ziku,Female,Khaadi,017-814-82503,48,Comilla,"chanderbari,dakbangla road,shasongacha middle para,cumilla sadar,Comilla",5990,120,6110,017-814-82503,Low,10,2,0,,,,,,
100,Sabiha Sumi,Female,Khaadi,015-335-90605,48,Comilla,"Gouripur Bazar, daudkandi, voyager school,Comilla",5990,120,6110,015-335-90605,Low,10,2,0,,,,,,
101,Sompa Ghosh,Female,Khaadi,013-447-62707,40,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",5990,120,6110,013-447-62707,Low,3,2,0,,,,,,
102,Nusrat Zerin Joya,Female,Khaadi,019-192-43980,50,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",5990,120,6110,019-192-43980,Low,3,2,0,,,,,,
103,Md Yousuf,Male,Khaadi,018-516-71506,44,Dhaka,"Kohinoor chemical,Tibbot,Tejgaon industrial area,Dhaka",5990,70,6060,018-516-71506,Low,1,2,0,,,,,,
104,Mitara Khanom Mitu,Female,Amir Adnan,015-679-74508,33,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",9550,120,9670,015-679-74508,Low,3,10,0,,,,,,
105,Tanjin Muna,Female,Amir Adnan,016-742-35084,31,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",9550,120,9670,016-742-35084,High,3,10,1,,,,,,
106,Tasnia Amanna,Female,Faraz Manan,018-738-69002,40,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",9000,120,9120,018-738-69002,High,3,9,1,,,,,,
107,Rounak Rakhi,Female,Celina,015-351-10150,34,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",5599,120,5719,015-351-10150,High,20,1,1,,,,,,
108,Afsana Rahman Badhon,Female,Khaadi,018-875-32600,22,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",5990,120,6110,018-875-32600,Low,15,2,0,,,,,,
109,Aysha Shiddika,Female,Mushq,018-165-29600,22,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",6890,120,7010,018-165-29600,Low,2,4,0,,,,,,
110,Jannat Tania,Female,Ethnic,019-454-70403,33,Noakhali,"kuripara gate,chowrasta,Begumganj,Noakhali",6500,120,6620,019-454-70403,Low,21,7,0,,,,,,
111,Tanima Rahman Tisha,Female,Baroque,018-876-82907,36,Chittagong,"chandgao r/a b,block house no-454,road no-7,Chittagong",7560,120,7680,018-876-82907,Low,3,5,0,,,,,,
112,Jannatul Haque Sujan,Female,Celina,013-781-81409,46,Cox's Bazar,"Apartment #8, Block #M, Chakaria, Coxs Bazar",5599,120,5719,013-781-81409,Low,5,1,0,,,,,,
113,Israt Jahan Moni,Female,Mushq,016-647-20106,31,Cox's Bazar,"House #20, Road #5, Ramu, Coxs Bazar",6890,120,7010,016-647-20106,Low,5,4,0,,,,,,
114,Mehnaz Yeamin,Female,Khaadi,013-580-10669,43,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",5990,120,6110,013-580-10669,Low,8,2,0,,,,,,
115,Ummay Habiba,Female,Ethnic,018-515-62260,27,Mymensingh,"House #10, Lane #6, Mymensingh Sadar, Mymensingh",6500,120,6620,018-515-62260,Low,13,7,0,,,,,,
116,Anisha Islam,Female,Amir Adnan,019-643-68206,29,Kushtia,"House #14, Road #8, Bheramara, Kushtia",9550,120,9670,019-643-68206,Low,16,10,0,,,,,,
117,Mohi Uddin,Male,Celina,019-757-49110,47,Chittagong,"kalamia bazar,hatkhula, kaza store,Chittagong",5599,120,5719,019-757-49110,High,3,1,1,,,,,,
118,Raihana Taherin Chaity,Female,Khaadi,019-442-31509,22,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",5990,120,6110,019-442-31509,Low,4,2,0,,,,,,
119,Tamia Binte Alam,Female,Maria B.,019-873-99704,22,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",7500,70,7570,019-873-99704,Low,1,8,0,,,,,,
120,Rafiza Afroz Purna,Female,Sana Safinaz,016-220-81902,25,Rajshahi,"Terokhadia uttarpara dabtola r mor,Rajshahi",10590,120,10710,016-220-81902,Low,7,6,0,,,,,,
121,Syeda Rakiba,Female,Ethnic,013-587-85508,29,Cox's Bazar,"Plot #14, Ukhia, Coxs Bazar",6500,120,6620,013-587-85508,High,5,7,1,,,,,,
122,Faria Sultana Mumu,Female,Mushq,017-799-71570,32,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",6890,70,6960,017-799-71570,Low,1,4,0,,,,,,
123,Kashfia Islam Anika,Female,Amir Adnan,016-267-77070,27,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9550,70,9620,016-267-77070,Low,1,10,0,,,,,,
124,Prottasha Haque,Female,Faraz Manan,013-857-86021,24,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",9000,120,9120,013-857-86021,High,9,9,1,,,,,,
125,Syeda Nafisa Nowshad,Female,Ethnic,019-436-78360,34,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",6500,70,6570,019-436-78360,High,1,7,1,,,,,,
126,Sadika Swapna,Female,Amir Adnan,016-305-44002,33,Kushtia,"Plot #6, Kumarkhali, Kushtia",9550,120,9670,016-305-44002,Low,16,10,0,,,,,,
127,Salima Islam,Female,Mushq,017-187-88200,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",6890,70,6960,017-187-88200,High,1,4,1,,,,,,
128,Zarin Tasnim,Female,Maria B.,016-203-29204,39,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",7500,120,7620,016-203-29204,Low,3,8,0,,,,,,
129,Faiza Sobhan,Female,Sana Safinaz,018-126-42006,26,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",10590,120,10710,018-126-42006,Low,3,6,0,,,,,,
130,Farinaj Rahman,Female,Ethnic,018-736-73706,47,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",6500,70,6570,018-736-73706,High,1,7,1,,,,,,
131,Lamia Rahman,Female,Celina,013-703-17809,45,Kushtia,"Plot #6, Kumarkhali, Kushtia",5599,120,5719,013-703-17809,Low,16,1,0,,,,,,
132,Maria Sobhan,Female,Baroque,019-836-81072,41,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",7560,120,7680,019-836-81072,Low,15,5,0,,,,,,
133,Sujana Rahman,Female,Mushq,018-920-75024,24,Rajshahi,"Apartment #3, Block #B, Seroil, Rajshahi",6890,120,7010,018-920-75024,Low,7,4,0,,,,,,
134,Rabeya Hossain,Female,Khaadi,015-947-45040,27,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",5990,120,6110,015-947-45040,Low,3,2,0,,,,,,
135,Ayesha Khan,Female,Khaadi,015-555-84076,40,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5990,70,6060,015-555-84076,Low,1,2,0,,,,,,
136,Maria Sabrin,Female,Khaadi,015-708-85600,46,Narayanganj,"32/34 Esha kha road,Sitolokha Houseing,Razi a Tower,Borofkol,Narayanganj",5990,120,6110,015-708-85600,Low,11,2,0,,,,,,
137,Nazia Ahmed,Female,Faraz Manan,016-981-85017,26,Mymensingh,"Flat #4, Building #13, Gafargaon, Mymensingh",9000,120,9120,016-981-85017,Low,13,9,0,,,,,,
138,Saima Biswas,Female,Maria B.,019-424-82036,38,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",7500,70,7570,019-424-82036,High,1,8,1,,,,,,
139,Sharmin Karim,Female,Sana Safinaz,019-780-94300,40,Dhaka,"210/A, South Jatrabari Nabi Nogor,( Beside Eidgah),Dhaka-1204",10590,70,10660,019-780-94300,Low,1,6,0,,,,,,
140,Lamisa Rowshan,Female,Sapphire,017-111-83092,49,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",7180,120,7300,017-111-83092,High,3,3,1,,,,,,
141,Parthib Sadiq,Male,Celina,019-415-59404,43,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,019-415-59404,Low,1,1,0,,,,,,
142,Miniba Jahan,Female,Khaadi,013-153-49083,38,Dhaka,"30/20 Tajmahal road, Mohammadpur, Dhaak",5990,70,6060,013-153-49083,Low,1,2,0,,,,,,
143,Farhana Tabassum,Female,Maria B.,016-180-24303,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",7500,70,7570,016-180-24303,Low,1,8,0,,,,,,
144,Fahim Shah,Male,Mushq,018-446-45907,24,Barisal,"House #10, Lane #3, Natullabad, Barisal",6890,120,7010,018-446-45907,Low,8,4,0,,,,,,
145,Tamanna Rahman,Female,Mushq,013-302-52014,39,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",6890,120,7010,013-302-52014,Low,17,4,0,,,,,,
