Order ID,Customer Name,Gender,Product Details (Brand),Age,City,Address,Product Price (Taka),Delivery Charge(Taka),Total Bill (Taka),Phone Number,Customer Value
53,Nawme,Female,Celina,31,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5599,70,5669,015-683-73270,Low
54,Kaniz Alma Lubaba,Female,Celina,29,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",5599,70,5669,018-138-73408,Low
55,Jannatul Ferdoush,Female,Mushq,23,Jessore,"House #15, Road #3, Bagherpara, Jessore",6890,120,7010,013-339-90069,Low
56,Rezoana Natasha,Female,Faraz Manan,22,Barisal,"House #19, Road #11, Natullabad, Barisal",9000,120,9120,016-669-28501,Low
57,Afrina Aktar Sheule,Female,Sana Safinaz,23,Chittagong,"VIP city corporation housing society, road no 1, south khulshi,Chittagong",10590,120,10710,016-567-26880,High
58,Ahmed Parvez,Male,Khaadi,46,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",5990,120,6110,017-584-50821,High
59,Swarna Sangma,Female,Khaadi,29,Narsingdi,"Plot #13, Monohardi, Narsingdi",5990,120,6110,019-661-30806,Low
60,Labib Fatima,Female,Sana Safinaz,33,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",10590,120,10710,018-601-23890,Low
61,Sanjida Islam,Female,Celina,32,Faridpur,"Flat #2, Building #13, Nagarkanda, Faridpur",5599,120,5719,018-600-16850,High
62,Samia Sultana Anni,Female,Ethnic,27,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",6500,120,6620,018-597-56856,Low
63,Jannatul Nayem Labonno,Female,Sana Safinaz,39,Faridpur,"Plot #5, Charbhadrasan, Faridpur",10590,120,10710,018-663-11824,Low
64,Sohana Ahmed,Female,Maria B.,22,Faridpur,"Plot #5, Charbhadrasan, Faridpur",7500,120,7620,018-371-10425,High
65,Nabiha Sarmin Chowdhury,Female,Sana Safinaz,42,Sylhet,"Apartment #15, Block #E, Zindabazar, Sylhet",10590,120,10710,013-479-14026,Low
66,Ahsan Iqbal,Male,Sana Safinaz,22,Dhaka,"6/2,D, Abir mollah complex,(Besides borobug girja), Mirpur 2,",10590,70,10660,019-720-50029,High
67,Md Imam,Male,Celina,29,Narsingdi,"House #19, Road #4, Shibpur, Narsingdi",5599,120,5719,017-918-66072,High
68,Ummy Sabrina Tonny,Female,Celina,49,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",5599,120,5719,019-164-27009,Low
69,Taranna Shahriar,Male,Khaadi,49,Dhaka,"House no-18/3/C,Dokkhin Rajarbag ,(Kadamtola Rajarbag,Bakpara Jora",5990,70,6060,018-657-65037,Low
70,Lubaba Tanzim,Female,Khaadi,24,Tangail,"House #2, Lane #8, Santosh, Tangail",5990,120,6110,017-259-27340,Low
71,Nayan Rahman,Male,Sana Safinaz,23,Dhaka,"25 no agasadek road 1100, Infront of Majed sorder committee center, Dhaka",10590,70,10660,018-801-83936,Low
72,Tania Akter Tissa,Female,Sana Safinaz,25,Dhaka,"Natasha,Adabor 17/b,1030/A, Dhaka",10590,70,10660,018-110-59970,High
73,Anahita Preyontika,Female,Baroque,33,Dhaka,"Vai vai market, shah kabir mazar road,dakkhinkhan,Dhaka",7560,70,7630,017-382-58904,High
74,Md. Shah Alom,Male,Celina,47,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,018-570-46802,Low
75,Farzana Rahman Mishu,Female,Faraz Manan,38,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9000,70,9070,013-142-91407,Low
76,Farhana Kusum,Female,Faraz Manan,44,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",9000,120,9120,017-435-67407,High
77,Aroshi Rahman,Female,Sana Safinaz,46,Khulna,"Plot #7, DA Khan Road, Khulna",10590,120,10710,015-166-31975,High
78,Anisha Islam,Female,Sana Safinaz,35,Dhaka,"Flat-4A, house-8/6/A,shyamoli road no-1,Dhaka",10590,70,10660,016-859-17405,High
79,Rebaka Azad Bonna,Female,Sana Safinaz,45,Dinajpur,"Apartment #5, Block #R, Birganj, Dinajpur",10590,120,10710,019-876-51041,High
80,Saima Adi Rimu,Female,Sana Safinaz,43,Narsingdi,"Plot #13, Monohardi, Narsingdi",10590,120,10710,015-277-55207,High
81,Afrina Aktar Sheule,Female,Sana Safinaz,23,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",10590,120,10710,019-835-87508,High
82,Bulbul Kausar,Female,Sana Safinaz,22,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",10590,120,10710,013-578-23028,High
83,Halima Papri,Female,Sana Safinaz,36,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",10590,70,10660,017-441-25604,High
84,Saifun Nahar Nawrin,Female,Amir Adnan,22,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",9550,120,9670,016-876-99708,High
85,Fariha Jannath Prova,Female,Baroque,25,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",7560,70,7630,016-701-10201,High
86,Lubaba Tanzim,Female,Sapphire,23,Jamalpur,"Apartment #7, Block #T, Melandaha, Jamalpur",7180,120,7300,016-512-98015,Low
87,Tasnim Ayontoni,Female,Amir Adnan,25,Dhaka,"225 Green Road ( Green Residential Society ,Opposite of Dhaka Tower)",9550,70,9620,018-104-76009,Low
88,Mariana Zaman Tumpa,Female,Ethnic,38,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",6500,120,6620,013-363-45601,High
89,Iffat Surya Poroma,Female,Faraz Manan,22,Gazipur,"House #8, Lane #10, Joydebpur, Gazipur",9000,120,9120,013-783-15207,Low
90,Adil Abrar,Male,Celina,33,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,015-272-76404,High
91,Farhana Shimu,Female,Mushq,26,Barisal,"House #19, Road #11, Natullabad, Barisal",6890,120,7010,013-552-10019,Low
92,Qureshi Tahmina,Female,Faraz Manan,22,Kushtia,"House #7, Lane #11, Kushtia Sadar, Kushtia",9000,120,9120,019-665-48019,Low
93,Jannatul Ferdous Madhubi,Female,Amir Adnan,22,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",9550,120,9670,016-287-82309,High
94,Salma Akter,Female,Celina,46,Dhaka,"Murgitola mosjid,Gendaria, puran Dhaka",5599,70,5669,017-709-33092,High
95,Motasima Tinni,Female,Mushq,27,Dhaka,"Elyee apartment,flat - A 5 house 24,road - 1 -block K baridhara",6890,70,6960,017-289-70091,Low
96,Rijatun Naher Suhi,Female,Celina,24,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",5599,120,5719,019-579-11409,Low
97,Roksana Parvin Tuli,Female,Mushq,34,Barisal,"House #19, Road #11, Natullabad, Barisal",6890,120,7010,017-139-38040,Low
98,Anika Rahman,Female,Baroque,39,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",7560,120,7680,013-987-68006,Low
99,Mohin Uddin Ziku,Female,Khaadi,48,Comilla,"chanderbari,dakbangla road,shasongacha middle para,cumilla sadar,Comilla",5990,120,6110,017-814-82503,Low
100,Sabiha Sumi,Female,Khaadi,48,Comilla,"Gouripur Bazar, daudkandi, voyager school,Comilla",5990,120,6110,015-335-90605,Low
101,Sompa Ghosh,Female,Khaadi,40,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",5990,120,6110,013-447-62707,Low
102,Nusrat Zerin Joya,Female,Khaadi,50,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",5990,120,6110,019-192-43980,Low
103,Md Yousuf,Male,Khaadi,44,Dhaka,"Kohinoor chemical,Tibbot,Tejgaon industrial area,Dhaka",5990,70,6060,018-516-71506,Low
104,Mitara Khanom Mitu,Female,Amir Adnan,33,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",9550,120,9670,015-679-74508,Low
105,Tanjin Muna,Female,Amir Adnan,31,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",9550,120,9670,016-742-35084,High
106,Tasnia Amanna,Female,Faraz Manan,40,Chittagong,"Apartment #5B, Block #D, Nasirabad, Chittagong",9000,120,9120,018-738-69002,High
107,Rounak Rakhi,Female,Celina,34,Jamalpur,"Flat #1, Building #10, Sarishabari, Jamalpur",5599,120,5719,015-351-10150,High
108,Afsana Rahman Badhon,Female,Khaadi,22,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",5990,120,6110,018-875-32600,Low
109,Aysha Shiddika,Female,Mushq,22,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",6890,120,7010,018-165-29600,Low
110,Jannat Tania,Female,Ethnic,33,Noakhali,"kuripara gate,chowrasta,Begumganj,Noakhali",6500,120,6620,019-454-70403,Low
111,Tanima Rahman Tisha,Female,Baroque,36,Chittagong,"chandgao r/a b,block house no-454,road no-7,Chittagong",7560,120,7680,018-876-82907,Low
112,Jannatul Haque Sujan,Female,Celina,46,Cox's Bazar,"Apartment #8, Block #M, Chakaria, Coxs Bazar",5599,120,5719,013-781-81409,Low
113,Israt Jahan Moni,Female,Mushq,31,Cox's Bazar,"House #20, Road #5, Ramu, Coxs Bazar",6890,120,7010,016-647-20106,Low
114,Mehnaz Yeamin,Female,Khaadi,43,Barisal,"Plot #14, Dapdapia, Bakerganj, Barisal",5990,120,6110,013-580-10669,Low
115,Ummay Habiba,Female,Ethnic,27,Mymensingh,"House #10, Lane #6, Mymensingh Sadar, Mymensingh",6500,120,6620,018-515-62260,Low
116,Anisha Islam,Female,Amir Adnan,29,Kushtia,"House #14, Road #8, Bheramara, Kushtia",9550,120,9670,019-643-68206,Low
117,Mohi Uddin,Male,Celina,47,Chittagong,"kalamia bazar,hatkhula, kaza store,Chittagong",5599,120,5719,019-757-49110,High
118,Raihana Taherin Chaity,Female,Khaadi,22,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",5990,120,6110,019-442-31509,Low
119,Tamia Binte Alam,Female,Maria B.,22,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",7500,70,7570,019-873-99704,Low
120,Rafiza Afroz Purna,Female,Sana Safinaz,25,Rajshahi,"Terokhadia uttarpara dabtola r mor,Rajshahi",10590,120,10710,016-220-81902,Low
121,Syeda Rakiba,Female,Ethnic,29,Coxs Bazar,"Plot #14, Ukhia, Coxs Bazar",6500,120,6620,013-587-85508,High
122,Faria Sultana Mumu,Female,Mushq,32,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",6890,70,6960,017-799-71570,Low
123,Kashfia Islam Anika,Female,Amir Adnan,27,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9550,70,9620,016-267-77070,Low
124,Prottasha Haque,Female,Faraz Manan,24,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",9000,120,9120,013-857-86021,High
125,Syeda Nafisa Nowshad,Female,Ethnic,34,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",6500,70,6570,019-436-78360,High
126,Sadika Swapna,Female,Amir Adnan,33,Kushtia,"Plot #6, Kumarkhali, Kushtia",9550,120,9670,016-305-44002,Low
127,Salima Islam,Female,Mushq,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",6890,70,6960,017-187-88200,High
128,Zarin Tasnim,Female,Maria B.,39,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",7500,120,7620,016-203-29204,Low
129,Faiza Sobhan,Female,Sana Safinaz,26,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",10590,120,10710,018-126-42006,Low
130,Farinaj Rahman,Female,Ethnic,47,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",6500,70,6570,018-736-73706,High
131,Lamia Rahman,Female,Celina,45,Kushtia,"Plot #6, Kumarkhali, Kushtia",5599,120,5719,013-703-17809,Low
132,Maria Sobhan,Female,Baroque,41,Narsingdi,"House #5, Lane #9, Narsingdi Sadar, Narsingdi",7560,120,7680,019-836-81072,Low
133,Sujana Rahman,Female,Mushq,24,Rajshahi,"Apartment #3, Block #B, Seroil, Rajshahi",6890,120,7010,018-920-75024,Low
134,Rabeya Hossain,Female,Khaadi,27,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",5990,120,6110,015-947-45040,Low
135,Ayesha Khan,Female,Khaadi,40,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5990,70,6060,015-555-84076,Low
136,Maria Sabrin,Female,Khaadi,46,Narayanganj,"32/34 Esha kha road,Sitolokha Houseing,Razi a Tower,Borofkol,Narayanganj",5990,120,6110,015-708-85600,Low
137,Nazia Ahmed,Female,Faraz Manan,26,Mymensingh,"Flat #4, Building #13, Gafargaon, Mymensingh",9000,120,9120,016-981-85017,Low
138,Saima Biswas,Female,Maria B.,38,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",7500,70,7570,019-424-82036,High
139,Sharmin Karim,Female,Sana Safinaz,40,Dhaka,"210/A, South Jatrabari Nabi Nogor,( Beside Eidgah),Dhaka-1204",10590,70,10660,019-780-94300,Low
140,Lamisa Rowshan,Female,Sapphire,49,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",7180,120,7300,017-111-83092,High
141,Parthib Sadiq,Male,Celina,43,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",5599,70,5669,019-415-59404,Low
142,Miniba Jahan,Female,Khaadi,38,Dhaka,"30/20 Tajmahal road, Mohammadpur, Dhaak",5990,70,6060,013-153-49083,Low
143,Farhana Tabassum,Female,Maria B.,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",7500,70,7570,016-180-24303,Low
144,Fahim Shah,Male,Mushq,24,Barisal,"House #10, Lane #3, Natullabad, Barisal",6890,120,7010,018-446-45907,Low
145,Tamanna Rahman,Female,Mushq,39,Bogura,"House #9, Lane #10, Bogura Sadar, Bogura",6890,120,7010,013-302-52014,Low
146,Rabeya Das,Female,Khaadi,39,Chittagong,"Ctg lalkanbazar,161 baggona,Silicon johora squre, Chittagong",5990,120,6110,018-710-63009,Low
147,Mahbuba Tahsin,Female,Amir Adnan,25,Dhaka,503/4 malibagh bagan bari Dhaka,9550,70,9620,019-332-62035,Low
148,Ilma Das,Female,Faraz Manan,39,Sylhet,"127 Aziz vilaa, komla bagan,Mojumdari, Sylhet",9000,120,9120,015-103-39110,High
149,Raisa Sobhan,Female,Amir Adnan,24,Jessore,"House #15, Road #3, Bagherpara, Jessore",9550,120,9670,019-342-17601,High
150,Aminul Chowdhury,Male,Baroque,22,Jamalpur,"Plot #8, Islampur, Jamalpur",7560,120,7680,013-458-66304,High
151,Sumaiya Karim,Female,Khaadi,26,Kushtia,"Apartment #10, Block #P, Mirpur, Kushtia",5990,120,6110,017-306-86508,Low
152,Mahbuba Ahmed,Female,Sapphire,22,Dhaka,"Avenue-2,Road-13,House-905,Mirpur DOHS,Dhaka",7180,70,7250,017-134-31509,Low
153,Farhan Hossain,Male,Amir Adnan,35,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",9550,120,9670,013-946-38602,Low
154,Farinaj Ali,Female,Faraz Manan,24,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",9000,120,9120,015-874-11000,High
155,Ratul Siddique,Male,Baroque,31,Chittagong,"Community bank Bangladesh ltd,Head office, Police Plaza,Concord shopping mall,Chittagong",7560,120,7680,018-316-39909,High
156,Saima Nawar,Female,Faraz Manan,35,Tangail,"Flat #3, Building #14, Kalihati, Tangail",9000,120,9120,013-704-35027,Low
157,Tahmina Rowshan,Female,Maria B.,44,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",7500,120,7620,019-433-25140,High
158,Shafi Hossain,Male,Mushq,46,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",6890,120,7010,013-591-58041,Low
159,Nusrat Karim,Female,Khaadi,29,Sylhet,"House #2, Lane #8, Amberkhana, Sylhet",5990,120,6110,016-132-30400,Low
160,Farinaj Ali,Female,Khaadi,37,Dhaka,"mirpur 12,Cantonment osmany hall,MIST female wings",5990,70,6060,019-583-81500,Low
161,Tashpia Fairooz,Female,Khaadi,30,Dhaka,"376/1, grand dalia apartment, sixth floor,flat B 4, west,monipur, mirpur 2, dhaka 1216,Dhaka",5990,70,6060,015-780-87702,Low
162,Abdullah Ali,Male,Khaadi,32,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",5990,70,6060,013-172-56100,Low
163,Ilma Karim,Female,Khaadi,46,Dinajpur,"Flat #3, Building #14, Chirirbandar, Dinajpur",5990,120,6110,017-812-57021,Low
164,Ayesha Tahsin,Female,Celina,40,Faridpur,"Apartment #9, Block #S, Boalmari, Faridpur",5599,120,5719,016-389-15041,Low
165,Raisa Islam,Female,Sapphire,28,Kushtia,"House #14, Road #8, Bheramara, Kushtia",7180,120,7300,017-306-33009,Low
166,Nusrat Tabassum,Female,Amir Adnan,40,Jessore,"House #4, Lane #12, Jessore Sadar, Jessore",9550,120,9670,013-117-49709,Low
167,Sharmin Noor,Female,Celina,46,Barisal,"Apartment #8, Block #A, Kuakata, Barisal",5599,120,5719,017-222-86608,High
168,Farhana Sobhan,Female,Amir Adnan,31,Dinajpur,"Plot #9, Phulbari, Dinajpur",9550,120,9670,013-900-80302,Low
169,Nazia Hossain,Female,Sapphire,31,Mymensingh,"Flat #4, Building #13, Gafargaon, Mymensingh",7180,120,7300,015-368-32038,High
170,Tamanna Nawar,Female,Khaadi,23,Cox's Bazar,"Plot #14, Ukhia, Coxs Bazar",5990,120,6110,013-570-24085,Low
171,Himeka Mahi,Female,Khaadi,27,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",5990,70,6060,017-866-75094,Low
172,Ayesha Ahmed,Female,Khaadi,34,Narsingdi,"Flat #8, Building #16, Raipura, Narsingdi",5990,120,6110,015-592-16507,Low
173,Tamanna Das,Female,Khaadi,41,Jessore,"Flat #1, Building #10, Abhaynagar, Jessore",5990,120,6110,015-770-19803,Low
174,Mostafa Hassan,Male,Khaadi,30,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",5990,120,6110,016-820-42047,Low
175,Nafisa Mahi,Female,Maria B.,27,Tangail,"House #16, Road #11, Gopalpur, Tangail",7500,120,7620,017-367-61999,Low
176,Sabina Ahmed,Female,Baroque,25,Jessore,"House #4, Lane #12, Jessore Sadar, Jessore",7560,120,7680,018-670-61408,Low
177,Raisa Khan,Female,Maria B.,43,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",7500,70,7570,018-953-78097,Low
178,Wamia Tahsin,Female,Khaadi,45,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5990,70,6060,018-300-42105,Low
179,Sharmin Biswas,Female,Celina,43,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",5599,120,5719,015-418-32201,Low
180,Salman Ibnat,Male,Mushq,43,Khulna,"House #1, Lane #5, Sonadanga, Khulna",6890,120,7010,019-613-59604,Low
181,Nowshin Mahi,Female,Sana Safinaz,41,Dhaka,"Plot #5, Sector #6, Uttara, Dhaka",10590,70,10660,017-233-87809,Low
182,Miniba Haque,Female,Maria B.,46,Chittagong,"C/o- Syed Asad Uddin Ahmed,Shams monzil,R/ A jalali -32,eletric supply road,Amborkh",7500,120,7620,018-412-87003,High
183,Mostafa Islam,Male,Baroque,25,Dhaka,"1,biren bose street (China complex),mitf ord road, Dhaka",7560,70,7630,016-736-13510,Low
184,Salman Alam,Male,Maria B.,40,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",7500,70,7570,019-858-63309,Low
185,Saima Tabassum,Female,Baroque,48,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",7560,120,7680,017-795-74504,Low
186,Nowshin Sabah,Female,Ethnic,31,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",6500,120,6620,018-268-19730,Low
187,Farhana Biswas,Female,Khaadi,28,Dhaka,"House #7, Road #1, Gulshan 1, Dhaka",5990,70,6060,016-531-59049,Low
